id,title,cover,locations,artists,songs,date
1,Chineke! Junior Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d6/46/d64619b1-e2d1-4814-ba75-03eb0a056fd7/chinekeyouth_2020_c_orlandogili_2475.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Chineke! Junior Orchestra', 'Gerard Aimontche', 'Glass Marcano']","['Pyotr Ilyich Tchaikovsky (1840–1893) Symphony No. 4 In F Minor, Op. 36', 'Samuel Coleridge-Taylor (1875–1912) Othello Suite, Op. 79', 'Stewart Goodyear (*1978) Callaloo. Caribbean Suite For Piano And Orchestra']",2022-08-09 18:30:00+00:00
2,National Youth Orchestra Of The Usa,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/26/49/26490607-9694-4985-b3e0-cc98e300083e/weilersteinalisa_c_marco_borggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Alisa Weilerstein', 'Daniel Harding', 'National Youth Orchestra of the USA']","['Edward Elgar (1857–1934) Cello Concerto In E Minor, Op. 85', 'Gustav Mahler (1860–1911) Symphony No. 5 In C-Sharp Minor']",2022-08-10 18:30:00+00:00
3,Ilumina,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/c6/df/c6df79a9-7edf-4edc-a813-7f8988ebc825/iluminagroup05rodrigo_rosenthal.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Ilumina', 'Jennifer Stumm']","['The Nature Of Light Works By Wagner, Muhly, Villa-Lobos, Beethoven, Et Al.']",2022-08-11 18:30:00+00:00
4,Lucerne Festival Orchestra 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/52/23/5223e03a-cbcf-48fd-a8b9-dcb68dac3e6c/mutter_williams_across_the_stars_0047.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Anne-Sophie Mutter', 'Lucerne Festival Orchestra', 'Riccardo Chailly']","['Joseph Bologne, Chevalier De Saint-Georges (1745–1799) Violin Concerto In A Major, Op. 5, No. 2', 'Sergei Rachmaninoff (1873–1943) Symphony No. 2 In E Minor, Op. 27', 'Wolfgang Rihm (*1952) New Work For Orchestra (World Premiere)']",2022-08-12 17:30:00+00:00
5,Lucerne Festival Orchestra 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6f/d0/6fd06638-117a-45b0-9eb3-1e95863c9f65/190816_19301_sommer_lfo_chailly_matsuev_eroffnungskonzert_c_fischli_03_approved.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Denis Matsuev', 'Lucerne Festival Orchestra', 'Riccardo Chailly']","['Sergei Rachmaninoff (1873–1943) Concerto For Piano Andorchestra No. 2 In C Minor, Op. 18']",2022-08-13 17:30:00+00:00
6,Recital András Schiff,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/2f/c9/2fc969ff-550c-4d00-a4f5-a7d9e6518330/181121_18509_rezital_3_schiff_cpketterer_lucernefestival_03.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']",['Sir András Schiff'],"['Works By J.S. Bach, Mozart, Beethoven, And Schubert']",2022-08-14 10:00:00+00:00
7,Jack Quartet 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6a/43/6a43b809-4fd1-404c-9927-72237b3abc46/sorey_tyshawn_1-_john_rogers.jpeg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['KKL Luzern', 'Lucerne Hall']","['JACK Quartet', 'Tyshawn Sorey']","['Liza Lim (*1966) New Work For String Quartet', 'Tyshawn Sorey New Work For Percussion And String Quartet']",2022-08-14 13:30:00+00:00
8,West-Eastern Divan Orchestra 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d5/c7/d5c722ea-9474-448d-922f-5fa0e53a4d9c/180822_18311_sk6_wedo_barenboim_cpketterer_lucernefestival_02.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Daniel Barenboim', 'West-Eastern Divan Orchestra']",['Bedřich Smetana (1824–1884) Má Vlast (My Homeland)'],2022-08-14 18:30:00+00:00
9,West-Eastern Divan Orchestra 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/ab/55/ab553098-1514-4478-8e6e-5abdcd579c62/ll_2020__olaf_heine_deutsche_grammophon_2.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Daniel Barenboim', 'Lang Lang', 'West-Eastern Divan Orchestra']","['Claude Debussy (1862–1918) Images Pour Orchestre No. 2: Ibéria', 'Manuel De Falla (1876–1946) Noches En Los Jardines De España For Piano And Orchestra', 'Maurice Ravel (1875–1937) Boléro', 'Maurice Ravel (1875–1937) Rapsodie Espagnole']",2022-08-15 18:30:00+00:00
10,Lucerne Festival Orchestra 3,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/11/44/1144225d-95cb-46bd-908c-83174b0b9b1e/200816_20634_lfo_3_solisten_christ_c_fischli_14_nachbearbeitet.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']",['Soloists of the Lucerne Festival Orchestra'],['Florence Price (1887–1953) Piano Quintet In A Minor'],2022-08-16 18:30:00+00:00
11,Lucerne Festival Orchestra 4,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/02/f9/02f96800-7dc3-47e0-9387-eaefceebe42a/schuenandre_c_guido_werner.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Andrè Schuen', 'Lucerne Festival Orchestra', 'Riccardo Chailly']",['Gustav Mahler (1860–1911) Lieder Eines Fahrenden Gesellen'],2022-08-17 18:30:00+00:00
12,Debut Zoltán Despond,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/bc/b8/bcb8d54c-296d-4952-93cd-77bf55371d37/zoltan_despond_with_vesselin_stanev_c_susan_brunner.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']","['Vesselin Stanev', 'Zoltán Despond']","['Ludwig Van Beethoven (1770–1827) Sonata For Cello And Piano Ind Major, Op. 102, No. 2', 'Nadja Boulanger (1887–1979) Three Pieces For Cello And Piano', 'Paul Hindemith (1895–1963) Sonata For Solo Cello, Op. 25, No. 3', 'Robert Schumann (1810–1856) Fantasiestücke, Op. 73', 'Sergei Prokofiev (1891–1953) Sonata For Cello And Piano In C Major, Op. 119']",2022-08-18 11:15:00+00:00
13,Recital Igor Levit,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/59/80/5980626b-fd03-4053-b215-9b0da0463e47/198-190821_19312_rezital_2_levit_cpketterer_lucernefestival_72_1.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']",['Igor Levit'],"['Franz Liszt (1811–1886) Piano Sonata In B Minor, S178', 'Fred Hersch (*1955) Variations On A Folk Song (Swiss Premiere)', 'Johannes Brahms (1833–1897) Six Chorale Preludes For Organ From Op. 122, Transcribet For Piano By Ferruccio Busoni, Bv B 50', 'Richard Wagner (1813–1883) Prelude To Tristan Und Isolde']",2022-08-18 18:30:00+00:00
14,Lucerne Festival Orchestra 5,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/01/c3/01c3066b-2425-4d86-a447-d49d6596b64c/210824_lfo_hrusa_c_peterfischli_lucerne_festival_08.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Augustin Hadelich', 'Jakub Hrůša', 'Lucerne Festival Orchestra']","['Antonín Dvořák (1841–1904) Violin Concerto In A Minor, Op. 53', 'Josef Suk (1874–1935) Scherzo Fantastique,Op. 25']",2022-08-19 18:30:00+00:00
15,Jack Quartet 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/da/c2/dac2169a-3c40-479d-8f66-b534479c4335/jackquartet2_c_beowulf_sheehan.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Hochschule Luzern - Music', 'Salquin Hall']","['JACK Quartet', 'Soloists of the Lucerne Festival Contemporary Orchestra (LFCO)']",['The Program Will Be Announced At A Later Date.'],2022-08-20 10:00:00+00:00
16,Concert Cecilia Bartoli,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/7f/df/7fdffc5f-026f-4bd2-b7eb-3c1a32eefb00/bartoli_c_uli_weber_decca_3.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Cecilia Bartoli', 'Gianluca Capuano', 'Les Musiciens du Prince - Monaco']",['The Program Will Be Announced At A Later Date.'],2022-08-20 17:30:00+00:00
17,Lucerne Festival Academy 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/7f/9d/7f9dfd2e-5446-4843-b405-c44b8747f936/schwarzelena_c_axelsaxe.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['KKL Luzern', 'Lucerne Hall']","['Elena Schwarz', 'Kirill Gerstein', 'Lucerne Festival Contemporary Orchestra (LFCO)', 'Timothy McAllister']","['Thomas Adès (*1971) In Seven Days.Piano Concerto With Moving Image', 'Tyshawn Sorey New Work For Saxophone And Orchestra']",2022-08-20 21:00:00+00:00
18,Mythenensembleorchestral,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/e0/c3/e0c3585c-7d7a-40c1-b8b1-d02a6eb1d832/contrattograziella.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Graziella Contratto', 'MythenEnsembleOrchestral']","['Gustav Mahler (1860–1911) Symphony No. 5 In C-Sharp Minor, Arranged For Chamber Orchestra By Klaus Simon']",2022-08-21 10:00:00+00:00
19,Duo Adès & Gerstein,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/70/7a/707a5f8b-7d20-47be-93f1-f1088a277dfa/thomas_adeskirill_gerstein020_c_marcoborggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['KKL Luzern', 'Lucerne Hall']","['Kirill Gerstein', 'Thomas Adès']","['Claude Debussy (1862–1918) En Blanc Et Noir', 'Claude Debussy (1862–1918) Lindaraja', 'Igor Stravinsky (1882–1971) Symphonie De Psaumes (Symphony Of Psalms) , Arranged For Two Pianos By Dmitri Shostakovich', 'Maurice Ravel (1875–1937) La Valse', 'Thomas Adès (*1971) Concert Paraphrase On Powder Her Face For Two Pianos']",2022-08-21 16:00:00+00:00
20,Mariinsky Orchestra 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/9d/7f/9d7fa56b-54df-444c-abdd-2cc26d5dd3f1/190831_19333_sk13_mariinsky_gergiev_cpketterer_lucernefestival_05.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Mariinsky Orchestra', 'Valery Gergiev']","['Alexander Borodin (1833–1887) Polovtsian Dances', 'Anatoli Ljadow (1855–1914) The Enchanted Lake, Op.62', 'Igor Stravinsky (1882–1971) Le Sacre Du Printemps', 'Modest Mussorgsky (1839–1881) Night On The Bare Mountain']",2022-08-21 18:30:00+00:00
21,Mariinsky Orchestra 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/da/0b/da0b7c1d-00e8-4340-a6b8-6eed51e3c482/trifonov_2021-06_4147_c_darioacostadg.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Daniil Trifonov', 'Mariinsky Orchestra', 'Valery Gergiev']","['Pyotr Ilyich Tchaikovsky (1840–1893) Adagio, Panorama,And Valsefromthesleeping Beauty Suite, Op. 66A']",2022-08-22 18:30:00+00:00
22,Debut Randall Goosby,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/67/19/67193e87-717d-4116-bcde-d35358d5cdef/randall_goosby_6_credit_kaupo_kikkas.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']","['Anna Han', 'Randall Goosby']","['Antonín Dvořák (1841–1904) Sonatina For Violin And Piano In G Major, Op. 100', 'Edvard Grieg (1843–1907) Violin Sonata No. 3 In C Minor, Op. 45', 'William Grant Still (1895–1978) Suite For Violin And Piano']",2022-08-23 11:15:00+00:00
23,Budapest Festival Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/ec/3e/ec3ea262-9dcf-4271-b905-d01fa2985f4c/210912_budapestfo_fischer_c_priskaketterer_lucerne_festival_01.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Budapest Festival Orchestra', 'Iván Fischer', 'soloists']",['Richard Wagner (1813–1883) Siegfried-Idyll'],2022-08-23 18:30:00+00:00
24,Duo Gabetta & Bezuidenhout,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/43/97/43979806-97af-4fc9-ac57-ad94487eb117/gabettasol_c_juliaweseley.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Kristian Bezuidenhout', 'Sol Gabetta']",['The Program Will Be Announced At A Later Date.'],2022-08-24 18:30:00+00:00
25,Debut Mishka Rushdie Momen,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/26/58/2658d6bf-c4d7-4dac-bbc8-29ac528a707d/098_colour_hi-res_-_mishka_rushdie_momen_april_2019.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']",['Mishka Rushdie Momen'],"['Franz Schubert (1797–1828) Fantasy In C Major, D 760 Wanderer Fantasy', 'Frédéric Chopin (1810–1849) Fantaisie-Impromptu In C-Sharp Minor, Op. Posth. 66', 'Héloïse Werner (*1991) New Work For Piano Commissioned By Ii Foundation', 'Ludwig Van Beethoven (1770–1827) Piano Sonata In C-Sharp Minor, Op. 27, No. 2Sonata Quasi Una Fantasia', 'Nico Muhly (*1981) Small Variations', 'Robert Schumann (1810–1856) No. 4 ""Ziemlich Langsam"" Frombunte Blätter,Op. 99', 'Robert Schumann (1810–1856) Romance In F-Sharp Major, Op. 28', 'Vijay Iyer (*1971) Hallucination Party (On A Theme By Von R. Schumann) , Part 1']",2022-08-25 11:15:00+00:00
26,Porgy And Bess,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/38/8c/388cca72-6def-4e26-b95f-0632953af488/gilbert_alan_c_peter_hundert_7.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Alan Gilbert', 'Cameo Humes', 'Chauncey Packer', 'Elizabeth Llewellyn', 'Golda Schultz', 'Latonia Moore', 'Lester Lynch', 'Louisa Miller', 'Morris Robinson', 'NDR Elbphilharmonie Orchester', 'NDR Vokalensemble and guests', 'Njabulo Madlala', 'Norman Garrett', 'Tichina Vaughn']","['The Gershwins’Porgy And Bess By George Gershwin, Dubose And Dorothy Heyward, And Ira Gershwinopera In Three Acts(Semi-Staged Performance)']",2022-08-25 17:30:00+00:00
27,Lucerne Symphony Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d8/57/d85726ce-0083-405b-9c5a-1a03967bbd2f/el_kouhry__fay_fox.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Joyce El-Khoury', 'Lucerne Symphony Orchestra', 'Michael Sanderling']","['Lili Boulanger (1893–1918) D’Un Matin De Printemps', 'Pyotr Ilyich Tchaikovsky (1840–1893) Symphony No. 6 In B Minor, Op. 74 Pathétique', 'Richard Strauss (1864–1949) Four Last Songs']",2022-08-26 18:30:00+00:00
28,Ensemble Recherche,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/fb/3b/fb3b4f3a-f3ee-4526-b8f4-80b3f406f1b6/ensemble_recherche_fotograf_marc_doradzillo.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Hochschule Luzern - Music', 'Salquin Hall']",['ensemble recherche'],"['Dieter Ammann (*1962) Gehörte Form. Hommages For String Trio', 'Helmut Lachenmann (*1935) New Work For String Trio (Swiss Premiere)', 'Lisa Streich (*1985) Nebensonnen For Violin, Viola, Violoncello And Clarinet', 'Wolfgang Rihm (*1952) Chiffre Iv For Bass Clarinet, Cello, And Piano']",2022-08-27 10:00:00+00:00
