id,title,cover,locations,artists,songs,date
29,Recital Vikingur Ólafsson,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d1/ff/d1ff182c-44cf-45a1-bbde-6f2b15b49078/2_cari_magg.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']",['Víkingur Ólafsson'],"['Baldassare Galuppi (1706–1785) Andante Spiritoso From The Piano Sonata No. 9 In F Minor', 'Baldassare Galuppi (1706–1785) Larghetto From The Piano Sonata No. 34 In C Minor', 'Carl Philipp Emanuel Bach (1714–1788) Rondo In D Minor, Wq 61 Nr. 4', 'Domenico Cimarosa (1749–1801) Sonata No. 42 In D Minor, Arranged For Piano By Víkingur Ólafsson', 'Domenico Cimarosa (1749–1801) Sonata No. 55 In A Minor, Arranged For Piano By Víkingur Ólafsson', 'Franz Liszt (1811–1886) Ave Verum Corpus De Mozart, S 461', 'Joseph Haydn (1732–1809) Piano Sonata In B Minor, Hob.Xvi:32', 'Wolfgang Amadé Mozart (1756–1791) Fantasy In D Minor, K. 397 (385G)', 'Wolfgang Amadé Mozart (1756–1791) Gigue In G Major, K. 574', 'Wolfgang Amadé Mozart (1756–1791) Piano Sonata In C Minor, K. 457', 'Wolfgang Amadé Mozart (1756–1791) Rondo In F Major, K. 494']",2022-08-27 15:00:00+00:00
30,Lucerne Festival Academy 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/54/13/54134b49-21f2-45e7-a1f2-4854de664c7a/mutter_c_thejapanartassociationthesankeishimbun2019.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Anne-Sophie Mutter', 'Lucerne Festival Contemporary Orchestra (LFCO)', 'Thomas Adès']","['Igor Stravinsky (1882–1971) Agon.Ballet For Twelve Dancers', 'Per Nørgård (*1932) Drømmespil (Dream Play) For Chamber Orchestra', 'Thomas Adès (*1971) New Work For Violin And Orchestra (""Roche Commissions"" World Premiere)', 'Witold Lutosławski (1913–1994) Symphony No. 3']",2022-08-27 18:30:00+00:00
31,Mahler Chamber Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/9b/17/9b176090-ac66-40f4-a10d-b6db2e2ca907/faust_isabelle-felix-broede_11-kopie-e1585668328569.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Antoine Tamestit', 'Isabelle Faust', 'Mahler Chamber Orchestra', 'Matthew Truscott']","['Joseph Bologne, Chevalier De Saint-Georges (1745–1799) Symphony No. 2 In D Major, Op. 11, No. 2', 'Wolfgang Amadé Mozart (1756–1791) Sinfonia Concertante In E-Flat Major, K. 364 (320D)']",2022-08-28 10:00:00+00:00
32,Lucerne Festival Academy 3,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/4e/5f/4e5ffce8-8ac7-49f0-aa4d-40c6f444efe5/soreytyshawn_c_tyshawnsoreycom.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['KKL Luzern', 'Lucerne Hall']","['Lucerne Festival Contemporary Orchestra (LFCO)', 'Tyshawn Sorey']",['Tyshawn Sorey Autoschediasms'],2022-08-28 14:00:00+00:00
33,Orchestra Di Santa Cecilia,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/76/73/7673cee5-3366-4e4f-9bcc-9adf8e1ac72d/garanca-c-dg.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Antonio Pappano', 'Elīna Garanča', ""Orchestra dell'Accademia Nazionale di Santa Cecilia""]","[""Gioachino Rossini (1792–1868) Overture Tol'Italiana In Algeri"", 'Maurice Ravel (1875–1937) Shéhérazade', 'Nikolai Rimski-Korsakov (1844–1908) Scheherazade, Op. 35']",2022-08-28 17:30:00+00:00
34,Royal Concertgebouworkest,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/e9/f4/e9f4d6a8-d01d-4a86-8811-d458c4ce8503/herreweghe-2-by-michiel-hendryckx-2013-1.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Collegium Vocale Gent', 'Florian Boesch', 'Philippe Herreweghe', 'Robin Johannsen', 'Royal Concertgebouworkest', 'Werner Güra']","['Joseph Haydn (1732–1809) The Creation, Hob. Xxi:2. Oratorio In Three Parts']",2022-08-29 18:30:00+00:00
35,Debut Aaron Akugbo,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/e0/88/e088bc31-d6c9-4144-817e-94b231bfdeb9/h25c2171jpg.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']","['Aaron Akugbo', 'Zeynep Özsuca']","['Florence Price (1887–1953) Selected Piano Piece', 'George Enescu (1881–1955) Légende For Trumpet And Piano', 'Georg Philipp Telemann (1681–1767) Methodic Sonata In B Minor, Twv 41:H3', 'Joy Guidry New Work Commissioned By Ii Foundation', 'Karl Pilss (1902–1979) Trumpet Sonata', 'Peter Maxwell Davies (1934–2016) Farewell To Stromness', 'Richard Rodgers (1902–1979) My Funny Valentine', 'Sarah Frances Beamish (*1956) Trinculo For Trumpet And Piano']",2022-08-30 11:15:00+00:00
36,Räsonanz-Donor Concert,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/72/05/72053339-4677-40e7-a6e8-7f71a6a4e10e/malkki_susanna_c_jiyang_chen_dsc_9532_0.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Andreas Haefliger', 'Helsinki Philharmonic Orchestra', 'Susanna Mälkki']","['Dieter Ammann (*1962) The Pianoconcerto (Gran Toccata)', 'Jean Sibelius (1865–1957) Tapiola,Op. 112', 'Kaija Saariaho (*1952) Vista For Orchestra', 'Per Nørgård (*1932) Symphony No. 8']",2022-08-30 18:30:00+00:00
37,Berlin Philharmonic 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/68/0d/680dd9ef-da48-430e-819f-a21d5a8610f9/583-190828_19327_sk10_tutti_applaus_cpketterer_lucernefestival_01.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Berlin Philharmonic', 'Kirill Petrenko']",['Gustav Mahler (1860–1911) Symphony No. 7 In E Minor'],2022-08-31 18:30:00+00:00
38,Debut Samuel Nebyu,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/19/50/19505ffd-fe3b-4b6c-ae4a-c96635d9a17b/nebyu_sam_2_c_michael_shingo_crawford.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']","['Charles Abramovic', 'Samuel Nebyu']","['Daniel Bernard Roumain (*1971) Filter For Soloviolin', 'Henry Thacker Burleigh (1866–1949) Southland Sketches', 'Joseph Bologne, Chevalier De Saint-Georges (1745–1799) Les Caquets. Rondo En Staccato', 'Joseph Bologne, Chevalier De Saint-Georges (1745–1799) Sonata In B-Flat Major, Op. 1A', 'Joseph White (1836–1918) La Jota Aragonesa,Op. 5', 'Samuel Coleridge-Taylor (1875–1912) Deep River From 24 Negro Melodies, Op. 59', 'Samuel Coleridge-Taylor (1875–1912) Four African Dances, Op. 58', 'Tyson Davis New Work For Violin And Piano (World Premiere) Commissioned By Ii Foundation', 'William Grant Still (1895–1978) Quit Dat Fool’Nish']",2022-09-01 11:15:00+00:00
39,Berlin Philharmonic 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/ea/00/ea0080ed-ca20-4d61-bb9b-b80e5d8f0008/zimmermanntabea_cr-marco-borggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Berlin Philharmonic', 'Kirill Petrenko', 'Tabea Zimmermann']","['Alfred Schnittke (1934–1998) Concerto For Viola And Orchestra', 'Dmitri Shostakovich (1906–1975) Symphony No. 10 In E Minor, Op. 93']",2022-09-01 18:30:00+00:00
40,Concert Juan Diego Flórez,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/b7/7b/b77bc4fe-2904-4eb0-a211-6323c014d849/210905_rezital_florez_scalera_c_manuelajans_lucerne_festival19x.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Juan Diego Flórez', 'Roberto González-Monjas', 'Sinfonía por el Perú Youth Orchestra']","['Opera Arias And Orchestral Works By Rossini,Donizetti, And Verdi Along With Selected Zarzuela Hits']",2022-09-02 18:30:00+00:00
41,Lucerne Festival Academy 4,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/34/c5/34c5ea19-8b23-4fc8-a8a4-207a6e81421a/cambrelingsylvain-000_c_marcoborggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Lucerne Festival Contemporary Orchestra (LFCO)', 'Sylvain Cambreling']","['Dieter Ammann (*1962) Core For Orchestra', 'Wolfgang Rihm (*1952) Sub-Kontur For Orchestra(Swiss Premiere)']",2022-09-03 10:00:00+00:00
42,Composer Seminar — Closing Concert,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/48/bb/48bbc39f-112f-47d1-aeb3-c294d496bdea/210818_composerseminar_rihm_ammann_c_peterfischli_lucerne_festival_06.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['KKL Luzern', 'Lucerne Hall']","['Dieter Ammann', 'Ensemble of the International Ensemble Modern Academy (IEMA)', 'Participants in the masterclass', 'Wolfgang Rihm']",['Composer Seminar Workshop'],2022-09-03 13:30:00+00:00
43,London Symphony Orchestra 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/47/6e/476e9b7a-8254-488c-9d1c-ae70845bae4b/210908_lso_rattle_c_priskaketterer_lucerne_festival_05.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['London Symphony Orchestra', 'Sir Simon Rattle']","['Anton Bruckner (1824–1896) Symphony No. 7 In E Major, Wab 107', 'Jean Sibelius (1865–1957) The Oceanides,Op. 73']",2022-09-03 17:30:00+00:00
44,London Symphony Orchestra 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/a7/84/a7842ac3-22b3-4747-9e20-bff8a53d46d8/190910_19351_sk23_rattle_lso_cpketterer_lucernefestival_48.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['London Symphony Orchestra', 'Sir Simon Rattle']","['Daniel Kidane (*1986) Precipice Dances(Swiss Premiere)', 'Hector Berlioz (1803–1869) Le Corsaireoverture, Op. 21', 'Jean Sibelius (1865–1957) Symphony No. 7 In C Major, Op. 105', 'Maurice Ravel (1875–1937) La Valse']",2022-09-04 10:00:00+00:00
45,Quatuor Diotima,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/59/19/5919df7d-bb1a-4813-b554-92ac1c875ce5/diotima1_lyodoh_kaneko.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Hochschule Luzern - Music', 'Salquin Hall']","['Mark Simpson', 'Quatuor Diotima:']","['Franz Schubert (1797–1828) String Quartet In G Major, D 887', 'Thomas Adès (*1971) Arcadiana For String Quartet']",2022-09-04 15:00:00+00:00
46,The Philadelphia Orchestra 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/97/3e/973ed08a-e1e2-410d-84cc-feca04052634/nezet_seguin_photo-_jan_regan.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Angel Blue', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin']","['Florence Price (1887–1953) Symphony No. 1 In E Minor', 'Sergei Rachmaninoff (1873–1943) The Isle Of The Dead, Op. 29', 'Valerie Coleman (*1970) New Song Cycle(Swiss Premiere)']",2022-09-04 17:30:00+00:00
47,The Philadelphia Orchestra 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/5a/60/5a600297-79b1-4d8b-8642-4e0bf2cb96c5/lisa-batiashvili-photo-chris-singer-14-1600x1199.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Lisa Batiashvili', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin']","['Antonín Dvořák (1841–1904) Symphony No. 7 In D Minor, Op. 70', 'Ernest Chausson (1855–1899) Poème For Violin And Orchestra, Op. 25', 'Karol Szymanowski (1882–1937) Violin Concertono. 1, Op. 35']",2022-09-05 18:30:00+00:00
48,Debut Abel Selaocoe,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/72/ec/72ecc12c-f02e-4123-a747-ecd0fe188f19/selaocoe_abel2_c_mlungisi_mlungwana.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']","['Abel Selaocoe', 'Fred Thomas']",['Hae Ke Kae — Where Home Is Sounds And Improvisations Inspired By South Africa And J.S. Bach'],2022-09-06 11:15:00+00:00
49,Vienna Philharmonic 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/a5/83/a583b9e7-f931-4edd-9cd0-e012f8c63015/yujawang-7466-juliawesely.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Esa-Pekka Salonen', 'Vienna Philharmonic', 'Yuja Wang']",['Olivier Messiaen (1908–1992) Turangalîla Symphony'],2022-09-06 18:30:00+00:00
50,Vienna Philharmonic 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/98/b9/98b9e74f-e76d-4819-b717-e5e90de1cde6/salonen_c_annick_ramp.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Esa-Pekka Salonen', 'Valentine Michaud', 'Vienna Philharmonic']","['Anders Hillborg (*1954) Peacock Tales. Millennium Version For Saxophone And Orchestra', 'Jean Sibelius (1865–1957) Symphony No. 2 In D Major, Op. 43', 'Maurice Ravel (1875–1937) Le Tombeau De Couperin']",2022-09-07 18:30:00+00:00
51,Debut Viano String Quartet,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/90/01/90015756-7b7d-4257-958d-94263b35ee3b/vianostringquartet3_c_vianostringquartetcom.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Kirchensaal', 'Lukaskirche']",['Viano String Quartet:'],"['Antonín Dvořák (1841–1904) String Quartet In C Major, Op. 61', 'Caroline Shaw (*1982) Blueprint For String Quartet', 'Florence Price (1887–1953) Andante Moderato From The String Quartet In G Major', 'Ludwig Van Beethoven (1770–1827) String Quartet In B-Flat Major, Op. 18 No. 6']",2022-09-08 11:15:00+00:00
52,The Cleveland Orchestra 1,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/37/c7/37c7d590-451c-4bfa-b7fd-59b0a6ae1269/clo091919_683_c_roger_mastroianni_2019_.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Franz Welser-Möst', 'The Cleveland Orchestra']","['Anton Bruckner (1824–1896) Symphony No. 9 In D Minor, Wab 109', 'Wolfgang Rihm (*1952) Verwandlung 2.Music For Orchestra']",2022-09-08 18:30:00+00:00
53,The Cleveland Orchestra 2,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/94/0d/940df7bc-fbea-44d7-be98-ab6177cb4a92/franzwelser-moestjuliawesely-.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Franz Welser-Möst', 'The Cleveland Orchestra']","['Franz Schubert (1797–1828) Symphony No. 8 In C Major, D. 944 Great C Major Symphony', 'Richard Strauss (1864–1949) Macbeth, Op. 23']",2022-09-09 18:30:00+00:00
54,Bamberg Symphony,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/83/f9/83f9ed21-3855-4ed9-bf08-62d577760389/bamberger_symphoniker_c_andreas_herzau.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Angel Blue', 'Bamberger Symphoniker', 'Jakub Hrůša']","['Alma Mahler (1879–1964) Selected Lieder', 'Gustav Mahler (1860–1911) Symphony No. 4 In G Major', 'Richard Wagner (1813–1883) Prelude And Liebestodfromtristan Und Isolde']",2022-09-10 17:30:00+00:00
55,Chineke! Orchestra,https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/57/58/57581ece-31fe-4a57-9615-b6e0d88d76dc/sheku_kanneh-mason_6_credit_jake_turney_300dpi.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg,"['Concert Hall', 'KKL Luzern']","['Chineke! Orchestra', 'Kevin John Edusei', 'Sheku Kanneh-Mason']","['Brian Raphael Nabors (*1991) Pulsefor Orchestra', 'Dmitri Shostakovich (1906–1975) Cello Concerto No. 2 In G Major, Op. 126', 'William Levi Dawson (1899–1990) African American Folk Symphony']",2022-09-11 16:00:00+00:00
